Date,City,Temp,Air Quality,PM 2.5,PM 10
8/29/2024 0:10:47,Houston,27.76°C,Good,3.9,5
8/30/2024 0:10:43,Toronto,16.84°C,Fair,19.66,22.48
8/30/2024 0:10:44,San Francisco,15.51°C,Fair,7.78,22.37
8/30/2024 0:10:45,New York,21.32°C,Fair,14.24,21.69
8/30/2024 0:10:45,Dallas,27.08°C,Fair,1.97,2.41
8/30/2024 0:10:46,Boston,14.28°C,Good,7.84,9.26
8/30/2024 0:10:46,Miami,25.99°C,Good,1.03,2.54
8/30/2024 0:10:47,Houston,25.99°C,Good,2.75,3.4
8/31/2024 0:10:43,Toronto,22.53°C,Fair,17.11,20.98
8/31/2024 0:10:44,San Francisco,16.14°C,Fair,9.7,24.44
8/31/2024 0:10:44,New York,20.58°C,Fair,11.01,18.49
8/31/2024 0:10:45,Dallas,28.66°C,Good,1.76,2.27
8/31/2024 0:10:45,Boston,16°C,Good,7.11,10.78
8/31/2024 0:10:45,Miami,27.18°C,Good,1.09,2.59
8/31/2024 0:10:46,Houston,26.61°C,Good,4.06,4.96
9/1/2024 0:10:43,Toronto,19.56°C,Moderate,15.69,27.47
9/1/2024 0:10:44,San Francisco,15.74°C,Fair,7.69,16.9
9/1/2024 0:10:45,New York,22.97°C,Good,6.92,9.65
9/1/2024 0:10:46,Dallas,28.7°C,Good,0.99,1.32
9/1/2024 0:10:46,Boston,21.67°C,Fair,4.21,9.68
9/1/2024 0:10:47,Miami,27.21°C,Good,0.5,1.06
9/1/2024 0:10:47,Houston,26.72°C,Good,6.36,9.73
9/2/2024 0:10:43,Toronto,16.13°C,Good,0.6,1.24
9/2/2024 0:10:43,San Francisco,16.42°C,Fair,4.55,9.51
9/2/2024 0:10:44,New York,24.58°C,Good,6.27,7.77
9/2/2024 0:10:44,Dallas,25.24°C,Good,0.51,0.87
9/2/2024 0:10:44,Boston,22.01°C,Good,7.22,7.94
9/2/2024 0:10:45,Miami,26.96°C,Good,0.71,1.53
9/2/2024 0:10:45,Houston,26.76°C,Good,4.35,6.25
9/3/2024 0:10:43,Toronto,13.65°C,Good,1.18,3.61
9/3/2024 0:10:43,San Francisco,16.49°C,Fair,2.6,4.67
9/3/2024 0:10:43,New York,18.3°C,Good,0.85,1.44
9/3/2024 0:10:44,Dallas,28.56°C,Good,1.76,2.72
9/3/2024 0:10:44,Boston,16.09°C,Good,0.53,0.83
9/3/2024 0:10:44,Miami,27.18°C,Good,1.16,2.93
9/3/2024 0:10:45,Houston,27.66°C,Good,5.4,6.33
9/4/2024 0:10:44,Toronto,15.56°C,Moderate,9.73,18.66
9/4/2024 0:10:44,San Francisco,19.14°C,Fair,5.75,7.85
9/4/2024 0:10:44,New York,18.06°C,Fair,14.7,25.66
9/4/2024 0:10:45,Dallas,23.9°C,Good,8.4,9.19
9/4/2024 0:10:45,Boston,13.93°C,Good,4.37,6.8
9/4/2024 0:10:46,Miami,27.07°C,Good,1.36,2.41
9/4/2024 0:10:46,Houston,28.04°C,Good,3.31,4.46
9/5/2024 0:10:44,Toronto,17.12°C,Fair,7.47,11.98
9/5/2024 0:10:45,San Francisco,15.55°C,Fair,6.78,11.54
9/5/2024 0:10:46,New York,19.04°C,Moderate,15.16,23.43
9/5/2024 0:10:46,Dallas,23.98°C,Fair,6.61,7.69
9/5/2024 0:10:47,Boston,15.97°C,Good,9.78,12.73
9/5/2024 0:10:48,Miami,25.73°C,Good,2.05,3.61
9/5/2024 0:10:49,Houston,25.11°C,Good,4.43,5.26
9/6/2024 0:10:43,Toronto,18.11°C,Fair,16.77,23.61
9/6/2024 0:10:43,San Francisco,15.98°C,Moderate,9.44,11.34
9/6/2024 0:10:44,New York,19.09°C,Moderate,11.38,23.96
9/6/2024 0:10:44,Dallas,27.15°C,Good,4.43,5.64
9/6/2024 0:10:44,Boston,15.44°C,Good,5.55,9.57
9/6/2024 0:10:45,Miami,28.75°C,Good,0.85,2.39
9/6/2024 0:10:45,Houston,24.76°C,Good,1.51,2.1
9/7/2024 0:10:43,Toronto,15.13°C,Good,0.99,1.48
9/7/2024 0:10:43,San Francisco,16.19°C,Fair,2.18,3.32
9/7/2024 0:10:43,New York,21.32°C,Fair,11.44,29.86
9/7/2024 0:10:44,Dallas,25.6°C,Fair,4.54,5.19
9/7/2024 0:10:44,Boston,18.13°C,Good,5.71,14.02
9/7/2024 0:10:44,Miami,28.81°C,Good,2.37,6.07
9/7/2024 0:10:45,Houston,23.16°C,Good,2.8,3.37
9/8/2024 0:10:44,Toronto,9.76°C,Good,0.5,0.99
9/8/2024 0:10:44,San Francisco,14.43°C,Fair,3.61,5.14
9/8/2024 0:10:45,New York,16.07°C,Good,1.78,2.53
9/8/2024 0:10:46,Dallas,23.5°C,Fair,2.34,3.2
9/8/2024 0:10:46,Boston,15.4°C,Fair,4.97,6.57
9/8/2024 0:10:47,Miami,29.04°C,Good,1.96,5.51
9/8/2024 0:10:47,Houston,25.04°C,Fair,8.66,9.41
9/9/2024 0:10:43,Toronto,15.51°C,Good,2.22,4.13
9/9/2024 0:10:44,San Francisco,14.28°C,Fair,2.99,4.68
9/9/2024 0:10:45,New York,16.97°C,Good,1.75,3.04
9/9/2024 0:10:46,Dallas,20.51°C,Fair,5.14,6.5
9/9/2024 0:10:46,Boston,13.42°C,Good,1.41,2.13
9/9/2024 0:10:47,Miami,29.23°C,Good,1.05,2.26
9/9/2024 0:10:47,Houston,24.11°C,Fair,5.23,5.87
9/10/2024 0:10:45,Toronto,14.79°C,Good,4.39,7.86
9/10/2024 0:10:45,San Francisco,14.8°C,Fair,3.22,6.94
9/10/2024 0:10:46,New York,19.98°C,Fair,11.65,18.77
9/10/2024 0:10:47,Dallas,21.79°C,Good,7.98,10.74
9/10/2024 0:10:48,Boston,17.02°C,Good,3.65,4.84
9/10/2024 0:10:53,Miami,26.84°C,Good,2.01,5.07
9/10/2024 0:10:54,Houston,26.97°C,Good,9.96,11.65
9/11/2024 0:10:43,Toronto,15.44°C,Moderate,14,21.12
9/11/2024 0:10:43,San Francisco,14.97°C,Fair,5.68,14.6
9/11/2024 0:10:44,New York,20.19°C,Good,5.26,8.45
9/11/2024 0:10:44,Dallas,27.3°C,Fair,10.55,13.26
9/11/2024 0:10:45,Boston,14.76°C,Good,4.91,7.07
9/11/2024 0:10:45,Miami,25.83°C,Good,1.46,2.67
9/11/2024 0:10:46,Houston,24.56°C,Good,3.68,4.25
9/12/2024 0:10:43,Toronto,15.66°C,Fair,14.53,25.02
9/12/2024 0:10:44,San Francisco,16.05°C,Fair,2.83,4.44
9/12/2024 0:10:45,New York,19.12°C,Moderate,31.3,38.85
9/12/2024 0:10:46,Dallas,22.68°C,Fair,2.9,3.75
9/12/2024 0:10:46,Boston,15.58°C,Fair,11.74,14.62
9/12/2024 0:10:47,Miami,25.71°C,Good,4.5,7.56
9/12/2024 0:10:48,Houston,24.51°C,Good,1.23,1.66
9/13/2024 0:10:43,Toronto,18.72°C,Moderate,32.39,47.08
